,idstd,id,a4a,a6a,a2,a1c,competition_select,tax_select,vat_applicable,a4b_v4,a0,a3a,a6c,a7,panel,a1a,a14d,a14m,a14y,a14h,a14min,a20y,a20m,a20d,a1,a12,a7a,a7b,a11,a7c,a9,b1,b1x,b1_RO,b3a,b2a,b2b,b2c,b2d,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c31,c32,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c12,c13,c14,c33,c34,c34b,c34bx,c152,c162,c172,c35a,c35b,c22b,c36,c37,c38,c39,c40a,c40b,c41a,c41b,c42,c30a,d1a1a,d1a6a,d1a6b,d1a6c,d1a6cx,d1a3,d2,d2x,d2a1,d2a1x,n3,n3x,d3a,d3b,d3c,d31x,d32,d4a,d4b,d33a,d33b,d34,d35,d36a,d36b,d37,d8,d12a,d12b,d13,d38x,d39,d14a,d14b,d40a,d40b,d41,d30a,d30b,o1,o2,o3a,o3b,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e31a,e31b,e6,e11,e32,e33,e34,e35,e30,h1,h2,h3x,h4x,h5,h6x,h7x,h8,h9,f1,g2,g3,g4,g31,g32,g33,g5a,g5b,g5bx,g30a,ge3,ge3a,ge7,ge8d,k3a,k3bc,k3e,k3f,k3hd,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5hdj,k5hdj1,k4b,n5c,n5d,k6,k7,k82,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15b,k15c,k15d,k162,k17,k20a1,k31,k32,k21,k33,k34,k35,k36,k37,k38,k39,k40,k30,j31,j2,j3,j4,j5,j32,j33,j34,j35a,j35b,j36,j37,j38,j39,j40,j6a,j41,j42,j43,j7a,j7b,j10,j11,j12,j13,j14,j15,j30a,j30b,j30c,j30e,j30f,h30,i30,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,j30_crime_pos,l1,l2,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l9b,l9b1,l10,l11a,l11a1,l11b,l11b1,l12a,l12a1,l31,l32,l33,l34,l35,l36,l1a,l6,l6a,l8,l37,l38,l39,l40,l41,l30a,l30b,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,n2a,n2a2,n2b,n2k,n2l,n2e,n2i,n2a1,n2e1,n7a,n11,n12,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a3b,a3c,a3,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata
0,1174100,6,Food,Small,South West Oltenia,Firm,1,1,Yes,Food,Manufacturing,South West Oltenia,182,No,1,Romanian,12,6,2023,11,42,2022,12,31,Romania,s2,,,,,,Sole proprietorship,,S.R.L. cu proprietar unic,Yes,100,0,0,0,No,,1992,8,1992,31,No,Yes,"ISO 9000, ISO 14000",No,,,,1400,Yes,2.0,0.0,10.0,None,,Yes,100.0,No,,,,2000,Cubic meters,,No,,,,,Yes,No,,,No,,,,,With no difficulty at all,Moderate obstacle,Manufacturing of ,,,,,100,36500050,Thirty Six Million Five Hundred Thousand Fifty,37500350.0,Thirty Seven Million Five Hundred Thousand Three Hundred Fifty,35650100,Thirty Five Million Six Hundred Fifty Thousand One Hundred,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,No obstacle,No obstacle,No,,Strongly agree,Strongly agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,No,,,,No,,Does not apply (spontaneous),Rarely or never,National â main product sold mostly across the country where establishment is located,Too many to count,Below 50%,,No,No,"Yes, there is more competition",Prices set by HQ,No,,Major obstacle,No,,,,No,,,No,,90.0,No,,,No,,,,,,Minor obstacle,No,,Yes,Yes,100,0,0,0,0,Yes,78977.0,45453.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes,93945.0,36000.0,Yes,Yes,"Yes, both a line of credit and a loan",Private commercial banks,2022.0,22000.0,Yes,No,No,No,No,Yes,22000.0,10.0,26819.0,No,"Yes, both a line of credit and a loan",,Application was approved in full,0.0,30.0,Yes,85,Debit cards,3.0,1.0,100.0,85,Debit cards,1.0,Major obstacle,Strongly agree,60,Yes,3.0,No,No,,"Yes, fully",31.0,,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Very severe obstacle,No obstacle,Moderate obstacle,No obstacle,Minor obstacle,No obstacle,Moderate obstacle,2,6,4,3,5,7,1,144,146,120.0,24.0,120,0,0,120.0,0.0,,,144.0,Yes,50.0,,No employees trained,,,115.0,No need to hire any new permanent full-time workers,,,No,,,0,No full-time seasonal or temporary workers,,,No,,,Yes,No,Minor obstacle,Very severe obstacle,Inadequately educated workforce,2,6,11,15,5,12,8,1,4,10,9,13,14,7,3,8121600,2466880.0,12500,10500,8000,1911800.0,,8234400.0,4528900.0,63489990.0,16,9,12,6,2023,12,10,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,3,No,No,Over 250.000 to 1 million,1073,South West Oltenia,Small (5-19),Food,Panel,1.9648509,1.4267421,3.2080345,220
1,1174101,14,Garments,Small,South Mutenia,Firm,0,1,Yes,Wearing apparel,Manufacturing,South Mutenia,5,No,1,Romanian,3,7,2023,18,12,2022,12,31,Romania,s8,,,,,,Shareholding company with non-traded shares or shares traded privately,,S.R.L.,Yes,100,0,0,0,No,,1991,40,1991,36,No,No,,No,,,,700,No,,,,,,No,,No,,,,25,Cubic meters,,No,,,,,No,No,,,No,,,,,With no difficulty at all,No obstacle,Manufacturing of ,,,,,80,880000,Eight Hundred Eighty Thousand,930000.0,Nine Hundred Thirty Thousand,940000,Nine Hundred Forty Thousand,100,0,0,,,,,,,,,,,,,40,60,No,,,,,,,,No obstacle,No obstacle,No,,Strongly agree,Strongly agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,2,,40.0,No,No,No change,No,No,,No obstacle,No,,,,No,,,No,,80.0,No,,,No,,,,,,No obstacle,No,,No,No,80,0,0,20,0,No,,,,,,,,,,,,,,,No,,,Yes,Yes,"Yes, a line of credit only",Private commercial banks,2021.0,38000.0,No,,,,,,,1.0,38000.0,No,No,Interest rates were not favorable,,,,No,98,"Internet and mobile banking, including direct debit transfer",1.0,0.0,200.0,90,"Internet and mobile banking, including direct debit transfer",0.0,Moderate obstacle,Strongly agree,2,No,,,,,"Yes, fully",300.0,,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,1,6,4,2,5,7,3,5,6,4.0,1.0,0,4,0,2.0,0.0,,100.0,,No,,,,,,,2,No hires,Lack of skilled labor,No,,,0,No full-time seasonal or temporary workers,,,No,,,No,,Minor obstacle,Major obstacle,Inadequately educated workforce,2,8,14,9,11,13,3,6,5,12,15,1,7,4,10,180000,80000.0,7000,1200,500,600000.0,,250000.0,600000.0,Don't know (spontaneous),1,19,3,7,2023,18,53,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,4,No,No,Less than 50.000,1410,South Mutenia,Small (5-19),Garments,Panel,13.504395,16.971613,49.374268,150
2,1174102,16,Other Manufacturing,Small,Centre,Firm,1,0,Yes,Leather and related products ,Manufacturing,West,34,No,1,Romanian,18,5,2023,8,59,2022,12,31,Romania,f22,,,,,,Shareholding company with non-traded shares or shares traded privately,,S.R.L.,No,100,0,0,0,No,,1998,35,1998,25,Yes,No,,No,,,,25000,Yes,Don't know (spontaneous),,,Don't know (spontaneous),,No,,No,,,,50,Cubic meters,,Yes,1.0,One hour or less,None,,No,No,,,Don't know (spontaneous),,,,,With some difficulty,Major obstacle,Manufacturing of ,,,,,100,3900000,Three Million Nine Hundred Thousand,3200000.0,Three Million Two Hundred Thousand,3650000,Three Million Six Hundred Fifty Thousand,0,0,100,Italy,Land border crossing,4.0,,4.0,,Don't know (spontaneous),No,,,,1998.0,20,80,Yes,Italy,Land border crossing,4.0,,4.0,,Don't know (spontaneous),Minor obstacle,Minor obstacle,No,,Strongly agree,Strongly agree,We fixed it and took action to make sure it did not happen again,Yes,1-2 production performance indicators,Yes,Main focus was on long-term (one year or more) production targets,Possible to achieve with normal amount of effort,Most managers and most production workers,No,,"Promotions were based partly on performance and ability, and partly on other factors (for example, tenure or family connections)",Does not apply (spontaneous),International,Don't know (spontaneous),,,No,Don't know (spontaneous),No change,Yes,No,,Minor obstacle,No,,,,No,,,No,,Don't know (spontaneous),No,,,No,,,,,,No obstacle,No,,Yes,Yes,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),No,,,,,,,,,,,,,,,No,,,Yes,No,"Yes, a loan only",Private commercial banks,2021.0,750000.0,No,,,,,,,1.0,3250000.0,No,No,No need for a loan - establishment had sufficient capital,,,,No,100,"Internet and mobile banking, including direct debit transfer",2.0,Don't know (spontaneous),Don't know (spontaneous),100,"Internet and mobile banking, including direct debit transfer",Don't know (spontaneous),Minor obstacle,Strongly agree,Don't know (spontaneous),No,,,,,"Yes, fully",,Don't know (spontaneous),"Yes, fully","Yes, fully",Yes,Don't know (spontaneous),,No,,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,Minor obstacle,No obstacle,Moderate obstacle,Very severe obstacle,No obstacle,No obstacle,2,4,7,1,3,6,5,29,Don't know (spontaneous),24.0,5.0,2,10,12,11.0,1.0,,,17.0,No,,,,,,,Don't know (spontaneous),,,No,,,29,29,12.0,Don't know (spontaneous),No,,,No,,No obstacle,No obstacle,Labor regulations,11,4,7,12,3,14,1,6,5,2,15,13,9,8,10,Don't know (spontaneous),,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Refusal (spontaneous),Refusal (spontaneous),18,5,2023,9,56,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,5,No,Yes,Less than 50.000,1520,Centre,Small (5-19),Other Manufacturing,Panel,39.938496,64.179756,122.30658,43
3,1174103,19,Other Manufacturing,Medium,North East,Firm,0,1,Yes,Printing and reproduction of recorded media,Manufacturing,North East,27,No,1,Romanian,23,5,2023,12,59,2022,12,31,Romania,s8,,,,,,Shareholding company with non-traded shares or shares traded privately,,S.R.L.,No,100,0,0,0,No,,2000,5,2000,10,No,Don't know (spontaneous),,No,,,,10000,No,,,,,,No,,No,,,,Don't know (spontaneous),,,No,,,,,Yes,No,,,No,,,,,With no difficulty at all,No obstacle,Manufacturing of ,,,,,100,3100000,Three Million One Hundred Thousand,3000000.0,Three Million,2950000,Two Million Nine Hundred Fifty Thousand,100,0,0,,,,,,,,,,,,,80,20,No,,,,,,,,No obstacle,No obstacle,No,,Strongly agree,Strongly agree,We fixed it and took action to make sure it did not happen again,No,,No,,,,Yes,Their team's or shift performance,Promotions were based solely on performance and ability,Rarely or never,National â main product sold mostly across the country where establishment is located,Don't know (spontaneous),,Don't know (spontaneous),No,No,"Yes, there is more competition",No,No,,No obstacle,No,,,,No,,,No,,80.0,No,,,No,,,,,,No obstacle,No,,No,No,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,,,Yes,75,"Internet and mobile banking, including direct debit transfer",2.0,0.0,Don't know (spontaneous),70,"Internet and mobile banking, including direct debit transfer",0.0,Moderate obstacle,Tend to agree,Don't know (spontaneous),Yes,1.0,No,Yes,2.0,"Yes, partially",288.0,,"Yes, partially","Yes, partially",No,,Other,No,,No,,No payments or gifts are paid,,No,,,No,,,No obstacle,No obstacle,No obstacle,Moderate obstacle,Minor obstacle,No obstacle,No obstacle,1,4,2,6,7,3,5,29,27,20.0,9.0,17,1,2,5.0,2.0,,100.0,,No,,,,,,,No need to hire any new permanent full-time workers,,,No,,,29,No full-time seasonal or temporary workers,,,No,,,No,,Minor obstacle,Moderate obstacle,Labor regulations,13,4,12,6,14,3,1,9,11,7,5,15,2,10,8,1078000,400000.0,90000,25000,5000,1000000.0,,1000000.0,900000.0,2000000.0,16,16,23,5,2023,13,29,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,3,No,No,Over 250.000 to 1 million,1811,North East,Medium (20-99),Other Manufacturing,Panel,17.726927,19.632769,52.90138,94
4,1174104,20,Other Manufacturing,Small,North West,Firm,1,0,Yes,Printing and reproduction of recorded media,Manufacturing,North West,13,No,1,Romanian,25,4,2023,10,6,2022,12,31,Romania,s3,,,,,,Sole proprietorship,,S.R.L. cu proprietar unic,Yes,100,0,0,0,No,,1993,12,1993,30,No,No,,Yes,120.0,No,3000.0,1218,No,,,,,,No,,No,,,,19,Cubic meters,,No,,,,,Yes,No,,,No,,,,,With no difficulty at all,Very severe obstacle,Manufacturing of ,,,,,70,1570000,One Million Five Hundred Seventy Thousand,1194516.0,One Million One Hundred Ninety Four Thousand Five Hundred Sixteen,1088000,One Million Eighty Eight Thousand,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,Major obstacle,Does not apply,No,,Does not apply (spontaneous),Does not apply (spontaneous),,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,0,Below 50%,,No,No,No change,Yes,No,,No obstacle,No,,,,No,,,No,,90.0,No,,,No,,,,,,No obstacle,No,,No,No,50,50,0,0,0,Yes,37500.0,0.0,,0.0,,0.0,,37500.0,,0.0,,0.0,,0.0,Yes,7000.0,0.0,Yes,Yes,"Yes, a line of credit only",Private commercial banks,2020.0,200000.0,No,,,,,,,1.0,20000.0,No,"Yes, a loan only",,Application was approved in full,0.0,60.0,No,70,"Internet and mobile banking, including direct debit transfer",1.0,0.0,550.0,90,"Internet and mobile banking, including direct debit transfer",0.0,Minor obstacle,Does not apply (spontaneous),2,No,,,,,No,,8.0,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,Yes,Somewhat difficult,Yes,365.0,No payments or gifts are paid,,No,,,No,,,Major obstacle,Minor obstacle,Does not apply,Major obstacle,Minor obstacle,Does not apply,No obstacle,1,6,7,3,4,5,2,13,10,7.0,6.0,7,0,0,3.0,5.0,,,11.0,No,,,,,,,3,3.0,,No,,,13,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,Minor obstacle,Moderate obstacle,Tax rates,10,14,12,3,13,15,11,9,7,6,8,1,4,2,5,531000,10588.0,14616,1680,1800,410000.0,,427000.0,342000.0,500000.0,10,1,25,4,2023,11,42,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,No,No,Over 250.000 to 1 million,1811,North West,Small (5-19),Other Manufacturing,Panel,198.00363,225.48947,537.59766,7
5,1174105,21,Other Manufacturing,Medium,Centre,Firm,0,1,Yes,Printing and reproduction of recorded media,Manufacturing,Centre,45,No,1,Romanian,8,5,2023,13,14,2022,12,31,Romania,s2,,,,,,Sole proprietorship,,S.R.L. cu proprietar unic,Yes,100,0,0,0,No,,2004,20,2004,19,No,No,,No,,,,1500,No,,,,,,No,,No,,,,300,Cubic meters,,No,,,,,Yes,No,,,No,,,,,With no difficulty at all,No obstacle,Manufacturing of ,,,,,100,3400000,Three Million Four Hundred Thousand,2300000.0,Two Million Three Hundred Thousand,1800000,One Million Eight Hundred Thousand,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,No obstacle,Minor obstacle,No,,Strongly disagree,Tend to disagree,We fixed it but did not take further action,No,,No,,,,No,,Does not apply (spontaneous),Rarely or never,Local â main product sold mostly in same municipality where establishment is located,Too many to count,,20.0,Yes,No,"Yes, there is more competition",Prices set by HQ,No,,No obstacle,No,,,,No,,,No,,100.0,No,,,No,,,,,,Major obstacle,No,,Yes,Yes,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,,,No,100,"Internet and mobile banking, including direct debit transfer",Payment received in less than a day,5.0,5.0,90,"Internet and mobile banking, including direct debit transfer",5.0,Minor obstacle,Strongly disagree,4,Yes,1.0,No,No,,No,40.0,,"Yes, partially","Yes, partially",No,,VAT cash refunds take too long to receive,No,,No,,No payments or gifts are paid,,No,,,No,,,Minor obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,Major obstacle,No obstacle,No obstacle,2,5,6,1,7,4,3,5,5,5.0,0.0,5,0,0,5.0,0.0,,,5.0,No,,,,,,,5,5.0,,No,,,45,No full-time seasonal or temporary workers,,,No,,,No,,Moderate obstacle,Moderate obstacle,Access to finance,14,11,12,1,7,13,3,2,6,8,10,9,15,5,4,270000,132000.0,2100,1200,1500,360000.0,,270000.0,162000.0,573000.0,16,19,8,5,2023,14,4,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,No,No,Over 250.000 to 1 million,1811,Centre,Medium (20-99),Other Manufacturing,Panel,44.572372,52.614147,115.99825,56
6,1174106,22,Other Manufacturing,Small,Centre,Firm,1,0,Yes,Printing and reproduction of recorded media,Manufacturing,Centre,6,No,1,Romanian,14,6,2023,10,42,2022,12,31,Romania,s2,,,,,,Sole proprietorship,,S.R.L. cu proprietar unic,No,100,0,0,0,No,,1995,1,1995,28,No,No,,No,,,,1500,No,,,,,,No,,No,,,,10,Cubic meters,,No,,,,,Yes,No,,,No,,,,,With no difficulty at all,Minor obstacle,Manufacturing of ,,,,,100,700000,Seven Hundred Thousand,600000.0,Six Hundred Thousand,600000,Six Hundred Thousand,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,Minor obstacle,Minor obstacle,No,,Strongly agree,Strongly agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,Too many to count,Between 50% and 90%,,No,No,No change,Prices are regulated,No,,Moderate obstacle,No,,,,No,,,No,,85.0,No,,,No,,,,,,Minor obstacle,No,,Yes,Yes,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,,,Yes,90,Credit cards,2.0,1.0,10.0,85,"Internet and mobile banking, including direct debit transfer",1.0,Moderate obstacle,Strongly agree,12,No,,,,,"Yes, fully",,15.0,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Very severe obstacle,Major obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,6,7,4,5,3,2,1,6,7,5.0,1.0,5,0,0,5.0,1.0,,,6.0,Yes,No employees trained,,No employees trained,,No female employees trained,,No need to hire any new permanent full-time workers,,,No,,,0,No full-time seasonal or temporary workers,,,No,,,Yes,No,Minor obstacle,Minor obstacle,Inadequately educated workforce,8,15,4,14,13,10,5,9,11,12,7,3,1,2,6,180000,88000.0,12000,6500,3800,250500.0,,180000.0,108000.0,204250.0,16,19,14,6,2023,11,11,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,3,No,No,Less than 50.000,1811,Centre,Small (5-19),Other Manufacturing,Panel,112.342636,152.87555,276.94394,43
7,1174108,24,Other Manufacturing,Medium,Bucharest-Ilfov,Firm,1,1,Yes,Chemical and chemical products,Manufacturing,Bucharest-Ilfov,24,No,1,Romanian,31,8,2023,11,0,2022,12,31,Romania,s5,,,,,,Shareholding company with non-traded shares or shares traded privately,,S.R.L.,Yes,100,0,0,0,Yes,90.0,1995,2,1995,25,No,No,,No,,,,263,Yes,1.0,2.0,0.0,2.0,,No,,No,,,,20,Cubic meters,,No,,,,,Yes,No,,,No,,,,,With little difficulty,Moderate obstacle,Manufacturing of ,,,,,100,54959415,Fifty Four Million Nine Hundred Fifty Nine Thousand Four Hundred Fifteen,40958157.0,Forty Million Nine Hundred Fifty Eight Thousand One Hundred Fifty Seven,36390424,Thirty Six Million Three Hundred Ninety Thousand Four Hundred Twenty Four,100,0,0,,,,,,,,,,,,,80,20,No,,,,,,,,Major obstacle,Major obstacle,No,,Strongly agree,Strongly agree,We fixed it but did not take further action,No,,No,,,,No,,Promotions were based solely on performance and ability,Within 6 months of identifying non-manager under-performance,Local â main product sold mostly in same municipality where establishment is located,Too many to count,Between 50% and 90%,,No,No,"Yes, there is more competition",No,No,,Moderate obstacle,No,,,,No,,,No,,80.0,No,,,No,,,,,,Moderate obstacle,No,,No,No,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,,,No,100,"Internet and mobile banking, including direct debit transfer",2.0,10.0,200.0,100,"Internet and mobile banking, including direct debit transfer",20.0,Moderate obstacle,Tend to agree,48,No,,,,,No,36.0,,"Yes, fully","Yes, fully",No,,VAT cash refunds take too long to receive,No,,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,Major obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Minor obstacle,7,6,2,5,4,1,3,24,23,20.0,4.0,2,15,3,20.0,4.0,,80.0,,No,,,,,,,No need to hire any new permanent full-time workers,,,No,,,0,No full-time seasonal or temporary workers,,,No,,,No,,Major obstacle,Moderate obstacle,Tax rates,15,14,10,11,9,5,3,4,6,13,12,7,2,1,8,10156171,3753976.0,8883261,7436588,4694107,7092699.0,,6454938.0,3076738.0,29757880.0,16,19,31,8,2023,11,47,Truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,4,Yes,Yes,City with population over 1 million,2023,Bucharest-Ilfov,Medium (20-99),Other Manufacturing,Panel,18.584356,20.934275,69.68771,203
8,1174109,25,Other Manufacturing,Medium,North West,Firm,1,0,Yes,Beverages,Manufacturing,North West,25,No,1,Romanian,9,5,2023,11,3,2022,12,31,Romania,s3,,,,,,Shareholding company with non-traded shares or shares traded privately,,S.R.L.,Yes,100,0,0,0,Yes,20.0,1994,15,1994,12,No,Yes,"ISO 9001, 14001",No,,,,7000,No,,,,,,No,,No,,,,200,Cubic meters,,No,,,,,Yes,No,,,No,,,,,With no difficulty at all,Moderate obstacle,Manufacturing of ,,,,,80,7308000,Seven Million Three Hundred Eight Thousand,8894000.0,Eight Million Eight Hundred Ninety Four Thousand,7337000,Seven Million Three Hundred Thirty Seven Thousand,81,0,19,Austria,Land border crossing,Less than one day,3.0,Less than one day,3.0,9.0,No,,,,2017.0,0,100,Yes,Bosnia and Herzegovina,Land border crossing,Less than one day,5.0,Less than one day,5.0,1.0,Very severe obstacle,Minor obstacle,No,,Does not apply (spontaneous),Does not apply (spontaneous),We fixed it and took action to make sure it did not happen again,Yes,3-9 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with normal amount of effort,All managers and most production workers,Yes,The firmâs performance,"Promotions were based partly on performance and ability, and partly on other factors (for example, tenure or family connections)",Within 6 months of identifying non-manager under-performance,National â main product sold mostly across the country where establishment is located,3,Between 50% and 90%,,No,No,No change,No,No,,Does not apply,No,,,,No,,,No,,40.0,No,,,No,,,,,,No obstacle,No,,Yes,Yes,100,0,0,0,0,No,,,,,,,,,,,,,,,Yes,94000.0,0.0,Yes,Yes,"Yes, a line of credit only",Private commercial banks,2019.0,450000.0,No,,,,,,,1.0,450000.0,No,No,No need for a loan - establishment had sufficient capital,,,,No,100,"Internet and mobile banking, including direct debit transfer",Payment received in less than a day,0.0,320.0,100,"Internet and mobile banking, including direct debit transfer",0.0,No obstacle,Strongly disagree,10,Yes,3.0,No,Yes,3.0,"Yes, partially",,10.0,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,Yes,Moderately difficult,Yes,30.0,No payments or gifts are paid,,Yes,One day or less,No,No,,,Minor obstacle,No obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,No obstacle,No obstacle,2,4,5,3,1,7,6,25,28,15.0,10.0,7,4,4,0.0,5.0,,,25.0,Yes,,4.0,,No employees trained,,No female employees trained,No need to hire any new permanent full-time workers,,,Yes,6.0,No severance was paid,25,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,Moderate obstacle,Major obstacle,Transport,2,15,9,10,14,11,12,1,5,3,7,13,6,8,4,1500000,450000.0,92000,1200,2500,5100000.0,,1350000.0,6200000.0,6000000.0,0,5,9,5,2023,12,6,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,No,No,Over 250.000 to 1 million,1104,North West,Medium (20-99),Other Manufacturing,Panel,36.470337,38.14756,111.14934,21
9,1174110,28,Other Manufacturing,Large,Centre,Firm,0,1,Yes,Non-metallic mineral products,Manufacturing,Centre,1104,No,1,Romanian,12,5,2023,10,59,2022,12,31,Romania,s8,,,,,,Shareholding company with non-traded shares or shares traded privately,,S.A. - AcÈiuni care sunt tranzacÈionate privat sau nu sunt tranzacÈionate,No,62,26,0,12,Don't know (spontaneous),,1970,600,1970,40,No,Yes,iso 9000,No,,,,950000,No,,,,,,No,,No,,,,10000,Cubic meters,,No,,,,,Yes,No,,,No,,,,,With no difficulty at all,Very severe obstacle,Manufacturing of ,,,,,98,180000000,One Hundred Eighty Million,188500000.0,One Hundred Eighty Eight Million Five Hundred Thousand,148000000,One Hundred Forty Eight Million,5,0,95,Switzerland,Land border crossing,Don't know (spontaneous),,2.0,,1.0,No,,,,1986.0,20,80,No,,,,,,,,Minor obstacle,No obstacle,No,,Strongly agree,Strongly agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,10 or more production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with normal amount of effort,Most managers and some production workers,Don't know (spontaneous),,"Promotions were based partly on performance and ability, and partly on other factors (for example, tenure or family connections)",Within 6 months of identifying non-manager under-performance,International,Too many to count,,,No,No,"Yes, there is less competition",No,No,,No obstacle,Yes,Yes,ceramic household items made from recycled components,Completely made by recycled materials,No,,,Don't know (spontaneous),,Don't know (spontaneous),No,,,No,,,,,,No obstacle,No,,No,No,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,Yes,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,,,Yes,80,"Internet and mobile banking, including direct debit transfer",2.0,0.0,Don't know (spontaneous),80,"Internet and mobile banking, including direct debit transfer",0.0,No obstacle,Tend to agree,Don't know (spontaneous),Don't know (spontaneous),,,,,"Yes, fully",Don't know (spontaneous),,"Yes, fully","Yes, fully",Don't know (spontaneous),,,No,,No,,No payments or gifts are paid,,No,,,No,,,No obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,1,6,3,4,2,5,7,1000,1112,816.0,184.0,10,506,300,400.0,Don't know (spontaneous),,75.0,,No,,,,,,,250,50.0,Lack of skilled labor,Yes,12.0,8.0,1000,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,Minor obstacle,Major obstacle,Inadequately educated workforce,1,6,3,11,2,9,13,10,12,15,4,5,14,8,7,81000000,35000000.0,Don't know (spontaneous),Don't know (spontaneous),6000,7000000.0,,65000000.0,6000000.0,Don't know (spontaneous),16,16,23,5,2023,17,21,Truthful,Are estimates computed with some precision,Several visits,1.0,45.0,3,No,No,Over 250.000 to 1 million,2393,Centre,Large (100 or more),Other Manufacturing,Panel,12.746496,18.459879,33.26425,70
